"Name","Market Cap","P/E","Forward P/E","Float Short","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year To Date)"
"Home Improvement Retail",498891.60,24.09,20.20,2.67%,-1.40%,0.66%,2.57%,23.75%,22.93%
"Household & Personal Products",828259.78,27.14,21.85,1.38%,-0.64%,-0.52%,1.54%,10.51%,2.13%
"Industrial Distribution",134752.48,43.40,30.05,2.27%,1.67%,0.54%,1.56%,14.17%,16.45%
"Information Technology Services",1041488.15,40.20,21.94,2.45%,1.13%,2.57%,6.79%,14.20%,14.16%
"Insurance - Diversified",1537764.06,12.49,19.23,1.03%,0.54%,3.04%,-0.62%,14.85%,24.59%
"Insurance - Life",382799.93,7.87,7.14,1.05%,3.10%,4.69%,-8.24%,-1.69%,5.28%
"Insurance - Property & Casualty",375670.12,9.50,15.16,2.56%,0.89%,5.24%,2.17%,10.28%,15.36%
"Insurance - Reinsurance",29234.87,8.97,8.68,1.57%,-0.35%,6.45%,-0.38%,1.02%,5.08%
"Insurance - Specialty",54477.53,9.90,11.84,4.04%,2.15%,4.16%,4.11%,17.80%,19.94%
"Insurance Brokers",235439.62,29.35,21.53,2.81%,0.58%,4.58%,3.11%,13.19%,18.36%
"Integrated Freight & Logistics",341151.64,22.87,16.07,2.57%,0.68%,-0.33%,-9.56%,10.67%,11.66%
"Internet Content & Information",5751364.22,33.76,28.05,3.32%,4.52%,3.85%,15.18%,24.70%,44.16%
"Internet Retail",2806039.30,43.08,37.25,4.60%,4.83%,-7.62%,-3.12%,-10.87%,-9.04%
"Leisure",154824.52,41.53,18.86,6.56%,3.15%,-0.66%,-3.05%,3.29%,6.25%
"Lodging",127240.05,200.50,28.12,3.00%,4.58%,-5.26%,-5.66%,-6.00%,6.27%
"Lumber & Wood Production",21450.78,3.35,8.67,2.16%,10.29%,6.43%,0.03%,15.06%,24.98%
"Luxury Goods",19960.22,19.49,13.88,4.42%,6.38%,7.56%,2.17%,10.73%,51.94%
"Marine Shipping",29018.46,7.25,6.47,3.22%,11.59%,15.95%,9.13%,35.85%,90.98%
"Medical Care Facilities",259493.39,23.24,19.72,3.85%,2.20%,-4.12%,0.29%,15.06%,13.72%
"Medical Devices",939858.57,44.53,29.96,3.17%,1.47%,1.91%,7.44%,8.77%,15.02%
"Medical Distribution",89964.17,50.70,10.48,2.85%,0.30%,-5.03%,0.69%,11.98%,14.43%
"Medical Instruments & Supplies",540988.14,44.69,33.80,2.36%,0.66%,2.77%,11.54%,14.72%,13.51%
"Metal Fabrication",20512.47,32.16,14.32,5.58%,3.31%,-1.81%,-8.28%,-4.78%,9.78%
"Mortgage Finance",74669.87,1.27,9.23,5.64%,1.30%,-1.16%,-6.56%,-17.09%,-18.28%
"Oil & Gas Drilling",10316.88,130.27,,7.59%,19.02%,-2.46%,0.48%,-4.76%,41.84%
"Oil & Gas E&P",419431.20,19.64,8.72,4.36%,10.86%,-0.82%,-2.41%,10.81%,52.25%
"Oil & Gas Equipment & Services",134252.90,64.80,18.78,2.64%,11.29%,-1.26%,-9.32%,-7.15%,19.95%
"Oil & Gas Integrated",1499658.41,16.96,8.09,0.54%,6.06%,-1.39%,-1.45%,3.37%,18.25%
"Oil & Gas Midstream",493545.35,17.30,12.36,2.26%,4.31%,-2.52%,-2.85%,11.28%,26.49%
"Oil & Gas Refining & Marketing",140791.97,84.08,16.31,2.56%,9.28%,-1.01%,-9.83%,-7.61%,18.23%
"Other Industrial Metals & Mining",608035.05,9.99,8.81,1.35%,5.66%,-11.61%,-6.02%,-6.36%,11.13%
"Other Precious Metals & Mining",7085.13,122.33,13.34,5.81%,16.74%,-7.74%,-28.88%,-19.79%,-30.66%
"Packaged Foods",307658.87,22.34,16.91,4.53%,-1.22%,-2.27%,-8.93%,0.09%,0.60%
"Packaging & Containers",183901.68,26.95,14.11,2.95%,1.45%,7.33%,2.24%,12.59%,12.18%
"Paper & Paper Products",24579.00,53.62,27.45,1.22%,10.28%,6.39%,-0.70%,-4.00%,13.03%
"Personal Services",69796.91,35.72,19.99,4.03%,0.90%,-4.55%,-0.92%,1.69%,0.08%
"Pharmaceutical Retailers",50473.16,23.84,11.64,3.76%,0.80%,5.55%,-5.99%,1.23%,23.95%
"Pollution & Treatment Controls",10611.26,50.29,36.90,5.01%,5.57%,5.15%,5.00%,2.95%,23.91%
"Publishing",82039.65,30.89,22.58,1.27%,1.03%,1.92%,11.45%,18.01%,20.40%
"Railroads",472788.05,24.10,20.28,1.65%,0.69%,2.52%,-3.14%,4.69%,8.30%
"Real Estate - Development",3512.43,6.78,11.37,2.64%,3.60%,-0.80%,-1.83%,-10.31%,0.93%
"Real Estate - Diversified",8218.67,65.75,38.54,1.18%,5.71%,0.28%,-8.42%,-5.57%,14.17%
"Real Estate Services",160415.13,35.49,26.59,2.75%,6.05%,-1.36%,-16.45%,-26.15%,-17.90%
"Recreational Vehicles",45010.20,14.46,13.79,9.42%,1.20%,-2.58%,-6.97%,1.44%,22.14%
"REIT - Diversified",117842.98,31.40,31.25,7.30%,1.94%,1.25%,6.78%,16.05%,23.80%
"REIT - Healthcare Facilities",125461.99,78.74,41.84,3.73%,1.20%,-4.87%,3.27%,7.81%,10.40%
"REIT - Hotel & Motel",43023.09,529.45,53.66,5.10%,7.50%,0.48%,-4.83%,-3.91%,10.99%
"REIT - Industrial",280362.38,52.87,50.26,2.37%,-0.84%,2.17%,12.97%,32.62%,33.68%
"REIT - Mortgage",68767.18,6.42,8.94,3.47%,3.16%,1.10%,-1.99%,6.53%,15.19%
"REIT - Office",170193.20,44.47,69.38,3.83%,-0.03%,-0.00%,1.93%,12.55%,13.63%
"REIT - Residential",232767.37,64.80,82.70,3.37%,0.23%,-1.40%,11.83%,30.68%,37.66%
"REIT - Retail",158278.07,42.34,37.38,6.06%,2.67%,2.84%,4.10%,16.54%,37.97%
"REIT - Specialty",417962.66,49.66,48.05,2.99%,-1.16%,2.11%,7.63%,25.91%,21.05%
"Rental & Leasing Services",90813.84,20.60,14.30,4.06%,6.32%,6.64%,2.29%,12.88%,39.09%
"Residential Construction",147008.87,10.10,7.74,3.64%,2.73%,1.47%,1.45%,22.50%,37.38%
"Resorts & Casinos",148496.12,126.87,30.91,4.06%,15.39%,7.12%,-11.04%,-13.53%,3.31%
"Restaurants",561673.48,33.79,26.63,2.92%,1.17%,-2.16%,3.58%,11.77%,13.47%
"Scientific & Technical Instruments",209562.00,32.45,25.29,5.00%,3.98%,5.62%,9.55%,9.81%,19.17%
"Security & Protection Services",45860.08,43.60,19.82,3.54%,2.94%,-2.24%,-4.20%,5.43%,8.79%
"Semiconductor Equipment & Materials",709353.01,37.78,25.31,2.27%,6.62%,3.81%,8.69%,18.56%,48.02%
"Semiconductors",2653271.74,31.26,21.09,1.85%,6.48%,4.81%,10.58%,8.17%,20.98%
"Shell Companies",112968.26,,5006.22,1.71%,0.25%,-0.57%,-2.38%,-12.74%,-9.31%
"Silver",13056.88,25.71,16.61,4.93%,9.81%,-7.85%,-25.41%,-19.58%,-20.26%
